country,season_start,team_a,team_b,is_rival
Germany,2020,frankfurt,leverkusen,TRUE
Germany,2020,dortmund,leverkusen,TRUE
Germany,2020,leverkusen,mönchengladbach,TRUE
Spain,2021,alavés,levante,TRUE
Spain,2021,alavés,getafe,TRUE
Spain,2021,alavés,celta de vigo,TRUE
Spain,2021,getafe,levante,TRUE
Spain,2021,celta de vigo,levante,TRUE
Spain,2021,athletic club,levante,TRUE
Spain,2021,levante,real sociedad,TRUE
England,2017,arsenal,chelsea,TRUE
England,2017,arsenal,man utd,TRUE
England,2017,chelsea,man utd,TRUE
France,2020,nîmes olympique,stade reims,TRUE
Italy,2023,cagliari,genoa,TRUE
Spain,2018,rayo vallecano,sd huesca,TRUE
Spain,2018,rayo vallecano,real valladolid,TRUE
Spain,2018,real valladolid,sd huesca,TRUE
Germany,2019,freiburg,mainz,TRUE
Germany,2019,freiburg,mönchengladbach,TRUE
Germany,2019,mainz,werder bremen,TRUE
Spain,2021,cádiz cf,elche cf,TRUE
Germany,2020,freiburg,mainz,TRUE
Germany,2020,mainz,werder bremen,TRUE
Germany,2018,frankfurt,werder bremen,TRUE
Germany,2018,mönchengladbach,werder bremen,TRUE
France,2018,fc nantes,stade rennais,TRUE
England,2023,brighton,newcastle,TRUE
England,2023,brighton,crystal palace,TRUE
England,2023,brighton,west ham,TRUE
England,2023,brighton,everton,TRUE
England,2023,crystal palace,newcastle,TRUE
England,2023,newcastle,west ham,TRUE
England,2023,everton,newcastle,TRUE
England,2023,arsenal,newcastle,TRUE
Germany,2020,frankfurt,hoffenheim,TRUE
Germany,2020,hoffenheim,mönchengladbach,TRUE
Spain,2020,cádiz cf,elche cf,TRUE
Italy,2018,fiorentina,torino,TRUE
Italy,2018,atalanta,fiorentina,TRUE
Italy,2018,atalanta,torino,TRUE
Italy,2018,sampdoria,torino,TRUE
Italy,2018,ac milan,torino,TRUE
England,2018,man city,man utd,TRUE
England,2019,man utd,tottenham,TRUE
England,2019,liverpool,man utd,TRUE
England,2019,man city,man utd,TRUE
England,2019,liverpool,tottenham,TRUE
England,2019,man city,tottenham,TRUE
Spain,2020,athletic club,real sociedad,TRUE
Spain,2020,athletic club,celta de vigo,TRUE
Spain,2020,celta de vigo,real sociedad,TRUE
Spain,2020,real betis,real sociedad,TRUE
Spain,2020,real sociedad,villarreal,TRUE
England,2021,everton,leicester,TRUE
England,2021,everton,west ham,TRUE
England,2021,everton,southampton,TRUE
England,2021,leicester,west ham,TRUE
England,2021,arsenal,leicester,TRUE
France,2019,fc nantes,stade rennais,TRUE
England,2023,luton,sheff utd,TRUE
France,2019,dijon,g. bordeaux,TRUE
Italy,2020,sampdoria,sassuolo,TRUE
England,2021,chelsea,tottenham,TRUE
England,2021,arsenal,chelsea,TRUE
England,2021,chelsea,man utd,TRUE
England,2021,chelsea,liverpool,TRUE
England,2021,arsenal,tottenham,TRUE
England,2021,man utd,tottenham,TRUE
England,2021,liverpool,tottenham,TRUE
England,2017,man city,man utd,TRUE
Italy,2018,fc empoli,parma,TRUE
Italy,2018,fc empoli,frosinone,TRUE
Italy,2018,frosinone,parma,TRUE
England,2024,brighton,newcastle,TRUE
