country,season,country_2,seller_raw,buyer_raw,team_name,league,transfer_type,player_name,player_url,player_position,player_age,player_nationality,club_2,league_2,transfer_fee,is_loan,transfer_notes,window,in_squad,appearances,goals,minutes_played,team_url,season_start,buyer_clean,seller_clean,rivalry_proximity,pos_clean,seller_norm,buyer_norm
England,2018,Spain,levante,afc bournemouth,AFC Bournemouth,Premier League,Arrivals,Jefferson Lerma,https://www.transfermarkt.com/jefferson-lerma/profil/spieler/262980,Defensive Midfield,23,Colombia,Levante,LaLiga,30500000,FALSE,"",Summer,34,32,2,2690,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,2018,bournemouth,levante,,defensive midfield,levante,bournemouth
England,2018,England,bournemouth,liverpool fc,Liverpool FC,Premier League,Arrivals,Nathaniel Clyne,https://www.transfermarkt.com/nathaniel-clyne/profil/spieler/85177,Right-Back,28,England,Bournemouth,Premier League,,TRUE,End of loan 31/05/2019,Summer,7,5,0,198,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,2018,liverpool,bournemouth,0.331578947368421,right-back,bournemouth,liverpool
England,2018,England,sheff utd,afc bournemouth,AFC Bournemouth,Premier League,Arrivals,David Brooks,https://www.transfermarkt.com/david-brooks/profil/spieler/277033,Right Winger,20,Wales,Sheff Utd,Championship,11300000,FALSE,"",Summer,36,33,7,2416,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,2018,bournemouth,sheff utd,,right winger,sheff utd,bournemouth
England,2018,France,toulouse,afc bournemouth,AFC Bournemouth,Premier League,Arrivals,Max Gradel,https://www.transfermarkt.com/max-gradel/profil/spieler/28140,Left Winger,30,Cote d'Ivoire,Toulouse,Ligue 1,,TRUE,End of loan 30/06/2018,Summer,,,,,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,2018,bournemouth,toulouse,,left winger,toulouse,bournemouth
England,2018,England,bournemouth,wolverhampton wanderers,Wolverhampton Wanderers,Premier League,Arrivals,Benik Afobe,https://www.transfermarkt.com/benik-afobe/profil/spieler/110858,Centre-Forward,25,DR Congo,Bournemouth,Premier League,11400000,FALSE,"",Summer,,,,,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2018,2018,wolves,bournemouth,,centre-forward,bournemouth,wolves
England,2018,England,wolves,afc bournemouth,AFC Bournemouth,Premier League,Arrivals,Benik Afobe,https://www.transfermarkt.com/benik-afobe/profil/spieler/110858,Centre-Forward,25,DR Congo,Wolves,Championship,,TRUE,End of loan 30/06/2018,Summer,,,,,https://www.transfermarkt.com/afc-bournemouth/startseite/verein/989/saison_id/2018,2018,bournemouth,wolves,,centre-forward,wolves,bournemouth
England,2018,England,brighton u21,brighton & hove albion,Brighton & Hove Albion,Premier League,Arrivals,Ben White,https://www.transfermarkt.com/ben-white/profil/spieler/335721,Right-Back,20,England,Brighton U21,Premier League 2,,FALSE,-,Summer,1,0,0,0,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,2018,brighton,brighton,,right-back,brighton,brighton
England,2018,England,bury,brighton & hove albion,Brighton & Hove Albion,Premier League,Arrivals,Rohan Ince,https://www.transfermarkt.com/rohan-ince/profil/spieler/141568,Defensive Midfield,25,Montserrat,Bury,League One,,TRUE,End of loan 30/06/2018,Summer,,,,,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,2018,brighton,bury,,defensive midfield,bury,brighton
England,2018,Spain,dep. la coruña,brighton & hove albion,Brighton & Hove Albion,Premier League,Arrivals,Florin Andone,https://www.transfermarkt.com/florin-andone/profil/spieler/177065,Centre-Forward,25,Romania,Dep. La Coruña,LaLiga2,6e+06,FALSE,"",Summer,32,27,5,1189,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,2018,brighton,dep. la coruña,,centre-forward,dep la corua,brighton
England,2018,Denmark,esbjerg fb,brighton & hove albion,Brighton & Hove Albion,Premier League,Arrivals,Anders Dreyer,https://www.transfermarkt.com/anders-dreyer/profil/spieler/342389,Right Winger,20,Denmark,Esbjerg fB,Superliga,2200000,FALSE,"",Summer,,,,,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,2018,brighton,esbjerg fb,,right winger,esbjerg fb,brighton
