country,season,seller_clean,buyer_clean,buyer_raw,team_name,league,transfer_type,player_name,player_url,player_position,player_age,player_nationality,club_2,league_2,country_2,transfer_fee,is_loan,transfer_notes,window,in_squad,appearances,goals,minutes_played,team_url,season_start,pos_clean,is_rival
England,2018,roma,liverpool,liverpool fc,Liverpool FC,Premier League,Arrivals,Alisson,https://www.transfermarkt.com/alisson/profil/spieler/105470,Goalkeeper,25,Brazil,Roma,Serie A,Italy,72500000,FALSE,"",Summer,51,51,0,4590,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2018,2018,goalkeeper,FALSE
England,2018,sampdoria,arsenal,arsenal fc,Arsenal FC,Premier League,Arrivals,Lucas Torreira,https://www.transfermarkt.com/lucas-torreira/profil/spieler/318077,Defensive Midfield,22,Uruguay,Sampdoria,Serie A,Italy,28650000,FALSE,"",Summer,52,50,2,3224,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2018,2018,defensive midfield,FALSE
England,2018,toulouse,west ham,west ham united,West Ham United,Premier League,Arrivals,Issa Diop,https://www.transfermarkt.com/issa-diop/profil/spieler/272622,Centre-Back,21,France,Toulouse,Ligue 1,France,2.5e+07,FALSE,"",Summer,43,38,2,3420,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2018,2018,centre-back,FALSE
England,2018,valencia,Brighton,brighton & hove albion,Brighton & Hove Albion,Premier League,Arrivals,Martín Montoya,https://www.transfermarkt.com/martin-montoya/profil/spieler/68645,Right-Back,27,Spain,Valencia,LaLiga,Spain,7e+06,FALSE,"",Summer,31,29,0,2470,https://www.transfermarkt.com/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2018,2018,right-back,FALSE
England,2018,watford,everton,everton fc,Everton FC,Premier League,Arrivals,Richarlison,https://www.transfermarkt.com/richarlison/profil/spieler/378710,Centre-Forward,21,Brazil,Watford,Premier League,England,39200000,FALSE,"",Summer,38,38,14,2809,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2018,2018,centre-forward,FALSE
England,2018,west ham,crystal palace,crystal palace,Crystal Palace,Premier League,Arrivals,Cheikhou Kouyaté,https://www.transfermarkt.com/cheikhou-kouyate/profil/spieler/66934,Defensive Midfield,28,Senegal,West Ham,Premier League,England,10700000,FALSE,"",Summer,41,37,0,2343,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2018,2018,defensive midfield,TRUE
England,2019,ac milan,Wolves,wolverhampton wanderers,Wolverhampton Wanderers,Premier League,Arrivals,Patrick Cutrone,https://www.transfermarkt.com/patrick-cutrone/profil/spieler/265078,Centre-Forward,21,Italy,AC Milan,Serie A,Italy,1.8e+07,FALSE,"",Summer,32,24,3,864,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2019,2019,centre-forward,FALSE
England,2019,amiens sc,newcastle,newcastle united,Newcastle United,Premier League,Arrivals,Emil Krafth,https://www.transfermarkt.com/emil-krafth/profil/spieler/184528,Right-Back,25,Sweden,Amiens SC,Ligue 1,France,5400000,FALSE,"",Summer,35,20,0,1249,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2019,2019,right-back,FALSE
England,2019,arsenal,everton,everton fc,Everton FC,Premier League,Arrivals,Alex Iwobi,https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631,Left Winger,23,Nigeria,Arsenal,Premier League,England,30400000,FALSE,"",Summer,34,29,2,1941,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2019,2019,left winger,TRUE
England,2019,atlético,man city,manchester city,Manchester City,Premier League,Arrivals,Rodri,https://www.transfermarkt.com/rodri/profil/spieler/357565,Defensive Midfield,23,Spain,Atlético,LaLiga,Spain,7e+07,FALSE,"",Summer,54,52,4,3679,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,2019,defensive midfield,FALSE
England,2019,barcelona,everton,everton fc,Everton FC,Premier League,Arrivals,André Gomes,https://www.transfermarkt.com/andre-gomes/profil/spieler/221025,Central Midfield,25,Portugal,Barcelona,LaLiga,Spain,2.5e+07,FALSE,"",Summer,21,20,0,1550,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2019,2019,central midfield,FALSE
England,2019,bournemouth,aston villa,aston villa,Aston Villa,Premier League,Arrivals,Tyrone Mings,https://www.transfermarkt.com/tyrone-mings/profil/spieler/253677,Centre-Back,26,England,Bournemouth,Premier League,England,22300000,FALSE,"",Summer,37,36,2,3173,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2019,2019,centre-back,TRUE
England,2019,burnley,aston villa,aston villa,Aston Villa,Premier League,Arrivals,Tom Heaton,https://www.transfermarkt.com/tom-heaton/profil/spieler/34130,Goalkeeper,33,England,Burnley,Premier League,England,8800000,FALSE,"",Summer,20,20,0,1795,https://www.transfermarkt.com/aston-villa/startseite/verein/405/saison_id/2019,2019,goalkeeper,FALSE
England,2019,chelsea,arsenal,arsenal fc,Arsenal FC,Premier League,Arrivals,David Luiz,https://www.transfermarkt.com/david-luiz/profil/spieler/46741,Centre-Back,32,Brazil,Chelsea,Premier League,England,8700000,FALSE,"",Summer,46,43,2,3644,https://www.transfermarkt.com/fc-arsenal/startseite/verein/11/saison_id/2019,2019,centre-back,TRUE
England,2019,chelsea,crystal palace,crystal palace,Crystal Palace,Premier League,Arrivals,Gary Cahill,https://www.transfermarkt.com/gary-cahill/profil/spieler/27511,Centre-Back,33,England,Chelsea,Premier League,England,0,FALSE,"",Summer,29,27,0,2303,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2019,2019,centre-back,FALSE
England,2019,crystal palace,man utd,manchester united,Manchester United,Premier League,Arrivals,Aaron Wan-Bissaka,https://www.transfermarkt.com/aaron-wan-bissaka/profil/spieler/477758,Right-Back,21,DR Congo,Crystal Palace,Premier League,England,5.5e+07,FALSE,"",Summer,50,46,0,4048,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2019,2019,right-back,FALSE
England,2019,espanyol,west ham,west ham united,West Ham United,Premier League,Arrivals,Roberto,https://www.transfermarkt.com/roberto/profil/spieler/37403,Goalkeeper,33,Spain,Espanyol,LaLiga,Spain,0,FALSE,"",Summer,23,10,0,866,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2019,2019,goalkeeper,FALSE
England,2019,everton,crystal palace,crystal palace,Crystal Palace,Premier League,Arrivals,James McCarthy,https://www.transfermarkt.com/james-mccarthy/profil/spieler/45333,Central Midfield,28,Ireland,Everton,Premier League,England,3300000,FALSE,"",Summer,40,35,0,1852,https://www.transfermarkt.com/crystal-palace/startseite/verein/873/saison_id/2019,2019,central midfield,TRUE
England,2019,frankfurt,west ham,west ham united,West Ham United,Premier League,Arrivals,Sébastien Haller,https://www.transfermarkt.com/sebastien-haller/profil/spieler/181375,Centre-Forward,25,Cote d'Ivoire,Frankfurt,Bundesliga,Germany,5e+07,FALSE,"",Summer,37,35,7,2476,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2019,2019,centre-forward,FALSE
England,2019,hoffenheim,newcastle,newcastle united,Newcastle United,Premier League,Arrivals,Joelinton,https://www.transfermarkt.com/joelinton/profil/spieler/333241,Central Midfield,22,Brazil,Hoffenheim,Bundesliga,Germany,43500000,FALSE,"",Summer,44,44,4,3119,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2019,2019,central midfield,FALSE
England,2019,juventus,everton,everton fc,Everton FC,Premier League,Arrivals,Moise Kean,https://www.transfermarkt.com/moise-kean/profil/spieler/364135,Centre-Forward,19,Italy,Juventus,Serie A,Italy,27500000,FALSE,"",Summer,41,33,2,1026,https://www.transfermarkt.com/fc-everton/startseite/verein/29/saison_id/2019,2019,centre-forward,FALSE
England,2019,juventus,man city,manchester city,Manchester City,Premier League,Arrivals,João Cancelo,https://www.transfermarkt.com/joao-cancelo/profil/spieler/182712,Right-Back,25,Portugal,Juventus,Serie A,Italy,6.5e+07,FALSE,"",Summer,53,33,1,2357,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2019,2019,right-back,FALSE
