country,league,season,team_a,team_b,pos_diff,team_a_low,team_b_low,country_low,league_low
England,Games of Matchday 38 Premier League 20/21,2020,Burnley,Fulham,1,burnley,fulham,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Burnley,Southampton,2,burnley,southampton,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Burnley,West Brom,2,burnley,west brom,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Chelsea,Leicester,1,chelsea,leicester,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Chelsea,Liverpool,1,chelsea,liverpool,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Chelsea,Man Utd,2,chelsea,man utd,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Chelsea,West Ham,2,chelsea,west ham,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Crystal Palace,Newcastle,2,crystal palace,newcastle,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Crystal Palace,Southampton,1,crystal palace,southampton,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Crystal Palace,Wolves,1,crystal palace,wolves,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Everton,Leeds,1,everton,leeds,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Everton,Newcastle,2,everton,newcastle,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Fulham,Sheff Utd,2,fulham,sheff utd,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Fulham,West Brom,1,fulham,west brom,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Leeds,Tottenham,2,leeds,tottenham,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Leicester,Liverpool,2,leicester,liverpool,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Leicester,Tottenham,2,leicester,tottenham,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Leicester,West Ham,1,leicester,west ham,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Liverpool,Man City,2,liverpool,man city,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Liverpool,Man Utd,1,liverpool,man utd,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Man City,Man Utd,1,man city,man utd,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Newcastle,Wolves,1,newcastle,wolves,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Sheff Utd,West Brom,1,sheff utd,west brom,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Southampton,Wolves,2,southampton,wolves,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 20/21,2020,Tottenham,West Ham,1,tottenham,west ham,england,games of matchday 38 premier league 20/21
England,Games of Matchday 38 Premier League 21/22,2021,Arsenal,Chelsea,2,arsenal,chelsea,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Arsenal,Man Utd,1,arsenal,man utd,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Arsenal,Tottenham,1,arsenal,tottenham,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Arsenal,West Ham,2,arsenal,west ham,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Aston Villa,Brentford,1,aston villa,brentford,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Aston Villa,Crystal Palace,2,aston villa,crystal palace,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Aston Villa,Everton,2,aston villa,everton,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Aston Villa,Southampton,1,aston villa,southampton,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Brentford,Crystal Palace,1,brentford,crystal palace,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Brentford,Newcastle,2,brentford,newcastle,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Brentford,Southampton,2,brentford,southampton,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Brighton,Leicester,1,brighton,leicester,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Brighton,Newcastle,2,brighton,newcastle,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Brighton,West Ham,2,brighton,west ham,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Brighton,Wolves,1,brighton,wolves,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Burnley,Everton,2,burnley,everton,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Burnley,Leeds,1,burnley,leeds,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Burnley,Norwich,2,burnley,norwich,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Burnley,Watford,1,burnley,watford,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Chelsea,Liverpool,1,chelsea,liverpool,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Chelsea,Man City,2,chelsea,man city,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Chelsea,Tottenham,1,chelsea,tottenham,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Crystal Palace,Newcastle,1,crystal palace,newcastle,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Crystal Palace,Wolves,2,crystal palace,wolves,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Everton,Leeds,1,everton,leeds,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Everton,Southampton,1,everton,southampton,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Leeds,Southampton,2,leeds,southampton,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Leeds,Watford,2,leeds,watford,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Leicester,Man Utd,2,leicester,man utd,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Leicester,West Ham,1,leicester,west ham,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Leicester,Wolves,2,leicester,wolves,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Liverpool,Man City,1,liverpool,man city,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Liverpool,Tottenham,2,liverpool,tottenham,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Man Utd,Tottenham,2,man utd,tottenham,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Man Utd,West Ham,1,man utd,west ham,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Newcastle,Wolves,1,newcastle,wolves,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 21/22,2021,Norwich,Watford,1,norwich,watford,england,games of matchday 38 premier league 21/22
England,Games of Matchday 38 Premier League 22/23,2022,Arsenal,Man City,1,arsenal,man city,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Arsenal,Man Utd,1,arsenal,man utd,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Arsenal,Newcastle,2,arsenal,newcastle,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Aston Villa,Brentford,2,aston villa,brentford,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Aston Villa,Brighton,1,aston villa,brighton,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Aston Villa,Liverpool,2,aston villa,liverpool,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Aston Villa,Tottenham,1,aston villa,tottenham,england,games of matchday 38 premier league 22/23
England,Games of Matchday 38 Premier League 22/23,2022,Bournemouth,Everton,2,bournemouth,everton,england,games of matchday 38 premier league 22/23
